Date,Team,Win,GF,game_lat,Opponent,Win,GF,Draw,modal_score,comp_tier,notes
May 30@@24256,:mx: MEX,48.5,1.5,37.3172,:au: AUS,22.2,0.9,29.3,1-0,1,Friendly
May 30@@24256,:gb-sct: SCO 🏡,77.6,2.6,55.88,:cw: CUW,5.8,0.5,16.6,1-0,1,Friendly
May 31@@24257,:us: USA 🏡,31.3,1.1,37.3172,:sn: SEN,36.8,1.2,31.9,0-0,1,Friendly
May 31@@24257,:rs: SRB,59.1,1.8,39.65553,:cv: CPV,15.5,0.8,25.4,1-0,1,Friendly
May 31@@24257,:jp: JPN 🏡,72.0,2.5,35.56871,:is: ISL,9.3,0.8,18.8,1-0,1,Friendly
May 31@@24257,:ch: SUI 🏡,73.9,2.4,47.01849,:jo: JOR,7.5,0.6,18.6,1-0,1,Friendly
May 31@@24257,:de: GER 🏡,83.6,3.2,50.81935,:fi: FIN,4.2,0.6,12.1,2-0,1,Friendly
May 31@@24257,:br: BRA 🏡,77.1,2.6,-16.81271,:pa: PAN,6.0,0.6,16.9,1-0,1,Friendly
June 1@@24258,:ca: CAN 🏡,59.6,1.8,46.89425,:uz: UZB,14.7,0.8,25.7,1-0,1,Friendly
June 1@@24258,:sk: SVK 🏡,76.9,2.5,48.66519,:mt: MLT,6.0,0.5,17.1,1-0,1,Friendly
June 1@@24258,:no: NOR 🏡,61.9,2.1,60.99203,:se: SWE,15.2,0.9,22.9,1-0,1,Friendly
June 1@@24258,:at: AUT 🏡,63.6,2.0,47.7831,:tn: TUN,12.8,0.7,23.6,1-0,1,Friendly
June 1@@24258,:tr: TUR 🏡,74.8,2.6,39.29454,:mk: MKD,7.9,0.7,17.4,1-0,1,Friendly
June 1@@24258,:bg: BUL 🏡,48.3,1.6,42.7289,:me: MNE,23.6,1.0,28.0,1-0,1,Friendly
June 2@@24259,:nz: NZL,29.0,1.3,37.3172,:ht: HAI,43.8,1.6,27.2,0-1,1,Friendly
June 2@@24259,:gb-wls: WAL 🏡,53.4,1.6,51.75,:gh: GHA,18.2,0.8,28.4,1-0,1,Friendly
June 2@@24259,:bn: BRU 🏡,39.8,1.5,4.850877,:tl: TLS,32.9,1.4,27.3,1-1,3,Southeast Asian Championship qualifying
June 2@@24259,:ge: GEO 🏡,42.3,1.4,41.93037,:ro: ROU,27.8,1.1,29.8,0-0,1,Friendly
June 2@@24259,:hr: CRO 🏡,41.6,1.5,45.21638,:be: BEL,29.7,1.2,28.6,0-0,1,Friendly
June 3@@24260,:lu: LUX 🏡,7.1,0.5,49.64531,:it: ITA,73.1,2.2,19.8,0-1,1,Friendly
June 3@@24260,:pl: POL 🏡,40.1,1.3,51.72587,:ng: NGA,29.1,1.1,30.8,0-0,1,Friendly
June 3@@24260,:dk: DEN,59.0,1.9,50.84524,:cd: COD,16.6,0.9,24.4,1-0,1,Friendly
June 3@@24260,:nl: NED 🏡,69.7,2.3,52.09536,:dz: ALG,10.1,0.7,20.1,1-0,1,Friendly
June 3@@24260,:pa: PAN 🏡,71.1,2.3,8.800722,:do: DOM,9.0,0.7,19.9,1-0,1,Friendly
June 4@@24261,:si: SVN 🏡,76.3,2.6,46.15565,:cy: CYP,6.6,0.6,17.1,1-0,1,Friendly
June 4@@24261,:th: THA 🏡,54.5,1.8,14.11979,:kw: KUW,19.3,1.0,26.2,1-0,1,Friendly
June 4@@24261,:uy: URU,54.7,1.6,21.34143,:kr: KOR,17.7,0.8,27.6,1-0,1,Friendly
June 4@@24261,:mx: MEX 🏡,58.3,1.8,21.34143,:rs: SRB,15.5,0.8,26.2,1-0,1,Friendly
June 4@@24261,:lb: LBN,55.3,1.7,25.32567,:ye: YEM,17.9,0.9,26.8,1-0,5,AFC Asian Cup qualifying
June 4@@24261,:ad: AND 🏡,51.7,1.3,42.52226,:li: LIE,15.2,0.5,33.1,0-0,1,Friendly
